amount,hour,country,merchant
1488.37,2,CA,new_luxury
1760.56,0,CA,new_marketplace
1101.04,2,CA,new_marketplace
601.46,0,GB,new_luxury
419.51,4,CA,new_marketplace
721.52,1,GB,new_luxury
584.55,1,GB,new_marketplace
1348.72,1,CA,new_luxury
570.57,3,CA,cross_border_luxury
1108.86,2,CA,cross_border_luxury
1371.97,4,GB,new_marketplace
1213.56,2,CA,cross_border_luxury
679.69,1,MX,new_marketplace
1525.77,0,CA,new_marketplace
1401.57,0,CA,new_luxury
1434.58,1,CA,new_marketplace
583.48,4,CA,new_marketplace
573.26,2,CA,cross_border_luxury
1698.59,4,MX,new_marketplace
956.61,0,GB,new_marketplace
821.33,0,MX,new_marketplace
1084.02,4,CA,new_marketplace
1328.01,0,MX,cross_border_luxury
1737.87,0,MX,new_luxury
801.02,2,CA,new_marketplace
1694.73,4,CA,cross_border_luxury
434.8,3,CA,cross_border_luxury
1177.28,0,CA,new_luxury
1287.57,4,CA,new_luxury
548.26,4,MX,new_luxury
596.48,4,CA,new_marketplace
986.76,4,CA,new_luxury
1752.72,1,CA,new_luxury
1234.46,4,MX,new_marketplace
1706.23,1,CA,cross_border_luxury
1526.11,4,CA,cross_border_luxury
1054.33,2,CA,new_marketplace
1498.67,3,MX,cross_border_luxury
424.97,3,CA,new_luxury
552.8,3,CA,new_marketplace
1561.2,3,CA,new_luxury
1515.54,3,MX,cross_border_luxury
725.7,3,CA,new_marketplace
1143.08,0,CA,new_marketplace
1248.42,4,MX,cross_border_luxury
1614.83,2,CA,new_marketplace
1244.35,1,GB,cross_border_luxury
977.6,2,CA,cross_border_luxury
923.86,4,GB,new_luxury
996.23,4,CA,cross_border_luxury
1312.7,4,CA,cross_border_luxury
1614.49,2,CA,new_marketplace
1035.46,3,CA,new_luxury
746.98,1,CA,new_marketplace
731.33,3,MX,new_marketplace
1444.42,3,GB,new_marketplace
1543.2,1,CA,cross_border_luxury
547.39,1,CA,new_luxury
493.18,0,MX,new_luxury
1232.21,0,MX,new_marketplace
604.64,2,CA,new_marketplace
1554.53,2,CA,cross_border_luxury
834.47,0,MX,new_luxury
601.42,2,MX,new_luxury
1689.36,3,MX,cross_border_luxury
631.74,1,CA,cross_border_luxury
798.61,1,MX,new_luxury
615.06,1,CA,new_marketplace
561.69,2,GB,cross_border_luxury
429.61,1,GB,new_luxury
477.55,3,CA,new_luxury
644.5,1,CA,cross_border_luxury
474.73,2,CA,new_marketplace
1227.6,1,CA,new_marketplace
1353.0,0,CA,cross_border_luxury
951.08,3,CA,new_luxury
845.19,1,CA,new_marketplace
1106.34,1,GB,cross_border_luxury
1625.01,3,MX,new_luxury
1591.58,4,CA,cross_border_luxury
